18:28:16: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\modules\common\modules\logger\logger_main_setup.py | setup_main_logger | 62] main logger initialized
18:28:16: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | main | 132] Connected!
18:28:17: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE ALTITUDE: 1
18:28:17: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE ALTITUDE: -1
18:28:20: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE YAW: 63.43494882292201
18:28:21: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE YAW: 90.0
18:28:21: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE YAW: 116.565051177078
18:28:22: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE YAW: 45.0
18:28:22: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE YAW: 63.43494882292201
18:28:23: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE YAW: 90.0
18:28:23: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE YAW: 26.565051177077976
18:28:24: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE YAW: 45.0
18:28:24: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE YAW: 90.0
18:28:25: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE YAW: 45.0
18:28:25: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE YAW: 90.0
18:28:26: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE YAW: 135.0
18:28:26: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE YAW: -26.56505117707799
18:28:27: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE YAW: -45.0
18:28:27: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE YAW: -90.0
18:28:28: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE YAW: -45.0
18:28:28: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE YAW: -90.0
18:28:29: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE YAW: -135.0
18:28:29: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE YAW: -63.43494882292201
18:28:30: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE YAW: -90.0
18:28:30: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE YAW: -116.565051177078
18:28:31: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE YAW: -45.0
18:28:31: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE YAW: -63.43494882292201
18:28:32: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE YAW: -90.0
18:28:32: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] None
