00:56:16: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\modules\common\modules\logger\logger_main_setup.py | setup_main_logger | 62] main logger initialized
00:56:17: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | main | 110] Connected!
00:56:18: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 69] Recieved Telemetry Data
00:56:18: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 69] Recieved Telemetry Data
00:56:18: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 69] Recieved Telemetry Data
00:56:19: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 69] Recieved Telemetry Data
00:56:19: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 69] Recieved Telemetry Data
00:56:20: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 69] Recieved Telemetry Data
00:56:20: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 69] Recieved Telemetry Data
00:56:21: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 69] Recieved Telemetry Data
00:56:21: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 69] Recieved Telemetry Data
00:56:22: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 69] Recieved Telemetry Data
00:56:24: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 69] Recieved Telemetry Data
00:56:25: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 69] Recieved Telemetry Data
00:56:26: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 69] Recieved Telemetry Data
00:56:26: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 69] Recieved Telemetry Data
00:56:27: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 69] Recieved Telemetry Data
00:56:27: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 69] Recieved Telemetry Data
00:56:28: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 69] Recieved Telemetry Data
00:56:28: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 69] Recieved Telemetry Data
00:56:29: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 69] Recieved Telemetry Data
00:56:29: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 69] Recieved Telemetry Data
00:56:30: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 69] Recieved Telemetry Data
